operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,,35000000.0,MXN,35634500.02,1894595.53,,,,,,,,http://alvaro-obregon.properati.com.mx/2eb_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Benito Juárez|,,2000000.0,MXN,2036257.11,108262.6,,,,,,,,http://benito-juarez.properati.com.mx/2ec_venta_apartamento_benito-juarez
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.41501,-99.175174",2700000.0,MXN,2748947.1,146154.51,61.0,61.0,2395.975573770492,44262.29508196721,,3.0,,http://cuauhtemoc.properati.com.mx/2pu_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.41501,-99.175174",6347000.0,MXN,6462061.92,343571.36,176.0,128.0,1952.11,49585.9375,,5.0,,http://cuauhtemoc.properati.com.mx/2pv_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,,6870000.0,MXN,6994543.16,371882.03,180.0,136.0,2066.011277777778,50514.705882352944,,5.0,,http://alvaro-obregon.properati.com.mx/2pw_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,,6500000.0,MXN,6617835.61,351853.45,300.0,300.0,1172.844833333333,21666.666666666668,,9.0,,http://alvaro-obregon.properati.com.mx/2px_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.456564,-99.191724",670000.0,MXN,682146.11,36267.97,65.0,65.0,557.9687692307692,10307.692307692309,,4.0,,http://miguel-hidalgo-df.properati.com.mx/46h_venta_apartamento_miguel-hidalgo
sell,apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.512787,-99.141393",1400000.0,MXN,1425379.97,75783.82,82.0,70.0,924.1929268292683,20000.0,,1.0,,http://gustavo-a-madero.properati.com.mx/46p_venta_apartamento_gustavo-a-madero
sell,house,|México|Distrito Federal|Álvaro Obregón|,"19.358776,-99.213557",6680000.0,MXN,6801098.67,361597.08,346.0,346.0,1045.0782658959538,19306.35838150289,,,,http://alvaro-obregon.properati.com.mx/46t_venta_casa_lomas-de-tarango
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.36237,-99.143951",1700000.0,MXN,1730818.54,92023.21,70.0,70.0,1314.6172857142858,24285.714285714286,,1.0,,http://benito-juarez.properati.com.mx/46u_venta_apartamento_benito-juarez
sell,apartment,|México|Distrito Federal|Xochimilco|,"19.24647,-99.10135",1745000.0,MXN,1776634.35,94459.12,74.0,74.0,1276.4745945945945,23581.08108108108,,,,http://xochimilco.properati.com.mx/474_venta_apartamento_cuajimalpa
sell,house,|México|Distrito Federal|Gustavo A. Madero|,"19.506648,-99.10361",890000.0,MXN,906134.28,48176.85,200.0,190.0,240.88425,4684.210526315789,,,,http://gustavo-a-madero.properati.com.mx/47o_venta_casa_gustavo-a-madero
sell,house,|México|Distrito Federal|Cuajimalpa de Morelos|,"19.353278,-99.289725",5500000.0,MXN,5599707.05,297722.15,351.0,351.0,848.2112535612537,15669.51566951567,,,,http://cuajimalpa-de-morelos.properati.com.mx/47w_venta_casa_cuajimalpa
sell,house,|México|Distrito Federal|La Magdalena Contreras|,"19.314291,-99.224132",3285000.0,MXN,3344552.29,177821.32,263.0,263.0,676.1266920152092,12490.494296577946,,,,http://la-magdalena-contreras.properati.com.mx/47z_venta_casa_la-magdalena-contreras
sell,house,|México|Distrito Federal|La Magdalena Contreras|,"19.309512,-99.242855",2060000.0,MXN,2097344.67,111510.47,185.0,185.0,602.7592972972973,11135.135135135137,,,,http://la-magdalena-contreras.properati.com.mx/486_venta_casa_la-magdalena-contreras
sell,house,|México|Distrito Federal|Tlalpan|,"19.30389,-99.210894",9300000.0,MXN,9468595.57,503421.09,637.0,637.0,790.2999843014129,14599.686028257456,,,,http://tlalpan.properati.com.mx/488_venta_casa_tlalpan
sell,house,|México|Distrito Federal|Coyoacán|,"19.326078,-99.135953",5500000.0,MXN,5599707.05,297722.15,300.0,300.0,992.4071666666669,18333.33333333333,,,,http://coyoacan.properati.com.mx/490_venta_casa_coyoacan
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.379739,-99.17181",4100000.0,MXN,4174327.07,221938.33,125.0,125.0,1775.5066399999998,32800.0,,5.0,,http://benito-juarez.properati.com.mx/491_venta_apartamento_benito-juarez
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.379982,-99.171745",3840000.0,MXN,3909613.61,207864.19,120.0,120.0,1732.2015833333332,32000.0,,5.0,,http://benito-juarez.properati.com.mx/492_venta_apartamento_benito-juarez
sell,house,|México|Distrito Federal|Miguel Hidalgo|,"19.395209,-99.230157",10000000.0,USD,188085000.0,10000000.0,4500.0,4500.0,2222.222222222222,2222.222222222222,,,,http://miguel-hidalgo-df.properati.com.mx/49z_venta_casa_miguel-hidalgo
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.374976,-99.160186",2200000.0,MXN,2239882.82,119088.86,72.0,72.0,1654.0119444444445,30555.555555555555,,5.0,,http://benito-juarez.properati.com.mx/4a5_venta_apartamento_benito-juarez
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.403483,-99.153132",3000000.0,MXN,3054385.66,162393.9,97.0,97.0,1674.163917525773,30927.835051546397,,5.0,,http://benito-juarez.properati.com.mx/4a7_venta_apartamento_benito-juarez
sell,house,|México|Distrito Federal|Benito Juárez|,"19.375172,-99.157647",5000000.0,MXN,5090642.78,270656.5,200.0,200.0,1353.2825,25000.0,,,,http://benito-juarez.properati.com.mx/4a8_venta_casa_benito-juarez
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.399982,-99.150884",1990000.0,MXN,2026075.69,107721.28,128.0,128.0,841.5725,15546.875,,6.0,,http://benito-juarez.properati.com.mx/4ah_venta_apartamento_benito-juarez
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.407682,-99.172042",2800000.0,MXN,2850759.95,151567.64,180.0,180.0,842.0424444444445,15555.555555555557,,6.0,,http://cuauhtemoc.properati.com.mx/4am_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.442791,-99.124128",650000.0,MXN,661783.46,35185.34,72.0,72.0,488.68527777777774,9027.777777777776,,1.0,,http://cuauhtemoc.properati.com.mx/4an_venta_apartamento_cuauhtemoc
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.292125,-99.12219",1100000.0,MXN,1119941.41,59544.43,70.0,70.0,850.6347142857143,15714.285714285714,,5.0,,http://tlalpan.properati.com.mx/4ap_venta_apartamento_tlalpan
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.456151,-99.191144",740000.0,MXN,753415.09,40057.16,54.0,54.0,741.7992592592593,13703.703703703704,,6.0,,http://miguel-hidalgo-df.properati.com.mx/4ar_venta_apartamento_miguel-hidalgo
sell,house,|México|Distrito Federal|Iztapalapa|,"19.372675,-99.118942",2800000.0,MXN,2850759.95,151567.64,240.0,240.0,631.5318333333333,11666.666666666666,,,,http://iztapalapa.properati.com.mx/4at_venta_casa_iztapalapa
sell,apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.527662,-99.156247",1650000.0,MXN,1679912.02,89316.64,82.0,82.0,1089.2273170731708,20121.951219512197,,4.0,,http://gustavo-a-madero.properati.com.mx/4ay_venta_apartamento_gustavo-a-madero
sell,store,|México|Distrito Federal|Miguel Hidalgo|,"19.433558,-99.186279",2882000.0,MXN,2934246.37,156006.4,95.0,95.0,1642.1726315789474,30336.84210526316,,,,http://miguel-hidalgo-df.properati.com.mx/4b0_venta_local_miguel-hidalgo
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,"19.351277,-99.221244",1500000.0,MXN,1527192.83,81196.95,86.0,86.0,944.1505813953488,17441.86046511628,,3.0,,http://alvaro-obregon.properati.com.mx/4bb_venta_apartamento_alvaro-obregon
sell,apartment,|México|Distrito Federal|Azcapotzalco|,"19.235328,-99.121824",824000.0,MXN,838937.9,44604.19,49.0,49.0,910.2895918367348,16816.326530612245,,1.0,,http://azcapotzalco.properati.com.mx/4dt_venta_apartamento_azcapotzalco
sell,apartment,|México|Distrito Federal|Iztapalapa|,"19.334271,-99.083374",,,,,,1.0,,,,2.0,,http://iztapalapa.properati.com.mx/4e0_venta_apartamento_iztapalapa
sell,apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.492029,-99.111359",490000.0,MXN,498882.86,26524.33,,1.0,,490000.0,,1.0,,http://gustavo-a-madero.properati.com.mx/4e1_venta_apartamento_gustavo-a-madero
sell,apartment,|México|Distrito Federal|Iztacalco|,"19.418651,-99.095861",,,,,,1.0,,,,1.0,,http://iztacalco.properati.com.mx/4e4_venta_apartamento_iztacalco
sell,apartment,|México|Distrito Federal|Iztapalapa|,"19.393751,-99.049999",510000.0,MXN,519245.5,27606.96,48.0,48.0,575.145,10625.0,,4.0,,http://iztapalapa.properati.com.mx/4ft_venta_apartamento_iztapalapa
sell,house,|México|Distrito Federal|Iztapalapa|,"19.330351,-99.086271",1600000.0,MXN,1629005.68,86610.08,170.0,170.0,509.4710588235294,9411.764705882351,,,,http://iztapalapa.properati.com.mx/4gh_venta_casa_iztapalapa
sell,house,|México|Distrito Federal|Coyoacán|,"19.308676,-99.103853",3430000.0,MXN,3492180.96,185670.36,200.0,200.0,928.3518,17150.0,,,,http://coyoacan.properati.com.mx/4gj_venta_casa_coyoacan
