property_type,department,lat,lon,area_m2,price_cop
house,Bogotá D.C,4.661,-74.048,227.0,1498000000.0
house,Cundinamarca,4.899,-74.031,300.0,1335000000.0
house,Bogotá D.C,4.698,-74.055,360.0,1700000000.0
house,Bogotá D.C,4.685,-74.059,113.0,399000000.0
house,Bogotá D.C,4.742,-74.065,82.0,360000000.0
house,Bogotá D.C,4.73,-74.04,140.0,450000000.0
house,Bogotá D.C,4.679,-74.056,69.0,500000000.0
house,Bogotá D.C,4.705,-74.04,137.0,650000000.0
house,Bogotá D.C,4.725,-74.044,104.0,440000000.0
house,Bogotá D.C,4.725,-74.04,80.0,415000000.0
house,Bogotá D.C,4.661,-74.104,105.0,620000000.0
house,Bogotá D.C,4.673,-74.053,121.0,1324812879.0
house,Atlántico,11.003,-74.834,199.0,380000000.0
house,Antioquia,6.212,-75.556,135.0,628598000.0
house,Valle del Cauca,3.469,-76.533,296.0,430000000.0
house,Atlántico,11.001,-74.951,95.0,253175000.0
house,Antioquia,6.462,-75.556,220.0,480000000.0
house,Valle del Cauca,3.435,-76.544,300.0,550000000.0
house,Atlántico,10.983,-74.825,385.0,950000000.0
house,Bogotá D.C,4.726,-74.075,164.0,900000000.0
house,Atlántico,11.002,-74.83,127.0,230000000.0
house,Bogotá D.C,4.725,-74.063,157.0,850000000.0
house,Bogotá D.C,4.747,-74.067,78.0,248000000.0
house,Atlántico,10.972,-74.789,207.0,300000000.0
apartment,Antioquia,6.242976,-75.601785,152.0,430000000.0
house,Caldas,5.067,-75.49,150.0,240000000.0
house,Atlántico,11.005,-74.805,111.0,554850000.0
house,Bogotá D.C,4.719,-74.074,147.0,680000000.0
house,Bogotá D.C,4.702,-74.082,237.0,790000000.0
house,Atlántico,11.016,-74.815,83.0,305000000.0
house,Bogotá D.C,4.694,-74.055,147.0,1183841400.0
house,Bogotá D.C,4.705,-74.039,260.0,1200000000.0
house,Bogotá D.C,4.772,-74.027,175.0,995000000.0
house,Bogotá D.C,4.706,-74.029,120.0,750000000.0
house,Bogotá D.C,4.719,-74.047,140.0,450000000.0
house,Cundinamarca,5.147,-73.686,120.0,950000000.0
house,Bogotá D.C,4.721,-74.033,83.0,440000000.0
house,Bogotá D.C,4.72,-74.079,198.0,980000000.0
house,Bogotá D.C,4.68,-74.042,130.0,850000000.0
house,Atlántico,10.995,-74.812,116.0,380000000.0
house,Atlántico,11.004,-74.807,124.0,500000000.0
house,Bogotá D.C,4.709,-74.073,360.0,990000000.0
house,Valle del Cauca,3.365,-76.529,271.0,495000000.0
house,Atlántico,11.001,-74.951,159.0,450000000.0
house,Cundinamarca,4.322,-74.768,400.0,1400000000.0
house,Bogotá D.C,4.761,-74.039,85.0,425000000.0
house,Bolívar,10.414,-75.542,187.0,970000000.0
house,Cundinamarca,4.847,-74.061,309.0,960000000.0
house,Atlántico,11.004,-74.807,296.0,900000000.0
house,Cundinamarca,4.865,-74.064,225.0,499000000.0
house,Cundinamarca,4.721,-73.969,213.0,1370000000.0
house,Atlántico,10.964,-74.797,218.0,830000000.0
house,Bogotá D.C,4.627,-74.14,195.0,610000000.0
house,Cundinamarca,4.896,-74.033,240.0,750000000.0
