operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,store,|México|Distrito Federal|Cuauhtémoc|,"19.4377047567,-99.1511714458",1950000.0,MXN,1932817.88,102763.0,63.0,63.0,1631.15873015873,30952.380952380958,,,,http://cuauhtemoc.properati.com.mx/pms1_venta_local_cuauhtemoc_firma-san-rafael-sa-de-cv_bav
sell,house,|México|Distrito Federal|Coyoacán|,"19.317018,-99.130739",3990000.0,MXN,3953905.37,210219.07,,210.0,,19000.0,,,,http://coyoacan.properati.com.mx/pmsd_venta_casa_coyoacan_estrella-errante_824_eulalio-diaz
sell,house,|México|Distrito Federal|Cuajimalpa de Morelos|,"19.4032060441,-99.246864114",2000000.0,USD,37617000.0,2000000.0,1000.0,1000.0,2000.0,2000.0,,,,http://cuajimalpa-de-morelos.properati.com.mx/pmsm_venta_casa_cuajimalpa-de-morelos_villela-y-asociados
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.438641,-99.098522",748000.0,MXN,741233.2,39409.48,,52.0,,14384.615384615385,,,,http://venustiano-carranza.properati.com.mx/pmtq_venta_departamento_venustiano-carranza_av-oceania-no-185_alejandra-larios-lopez
sell,house,|México|Distrito Federal|Miguel Hidalgo|,,15500000.0,MXN,15363425.29,816834.16,197.0,197.0,4146.366294416244,78680.20304568528,,,,http://miguel-hidalgo-df.properati.com.mx/pmv1_venta_casa_miguel-hidalgo_lomeli-brokers
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,,687840.0,USD,12937238.64,687840.0,171.0,171.0,4022.456140350877,4022.456140350877,,,,http://miguel-hidalgo-df.properati.com.mx/pmv2_venta_departamento_miguel-hidalgo_lomeli-brokers
sell,house,|México|Distrito Federal|Coyoacán|Villa Coyoacán|,"19.349224,-99.169931",11000000.0,MXN,10900491.0,579551.32,,320.0,,34375.0,,,,http://villa-coyoacan.properati.com.mx/pmvw_venta_casa_villa-coyoacan_presidente-carranza_0_eulalio-diaz
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.375412,-99.144234",1350000.0,MXN,1337787.47,71126.75,,55.0,,24545.454545454544,,,,http://benito-juarez.properati.com.mx/pmw1_venta_departamento_benito-juarez_centenario_119_alejandro-arriaga
sell,house,|México|Distrito Federal|Álvaro Obregón|,"19.340762,-99.224816",2086666.0,MXN,2067789.37,109939.09,,205.0,,10178.858536585363,,,,http://alvaro-obregon.properati.com.mx/pmw4_venta_casa_alvaro-obregon_2da-cerrada-del-moral_27_santiago-luna
sell,apartment,|México|Distrito Federal|Coyoacán|El Centinela|,"19.335148,-99.139389",1500000.0,MXN,1486430.48,79029.72,,79.0,,18987.3417721519,,,,http://el-centinela.properati.com.mx/pmwa_venta_departamento_el-centinela_grupo-vive
sell,house,|México|Distrito Federal|Iztapalapa|,"19.376598,-99.032234",1200000.0,MXN,1189144.46,63223.78,,100.0,,12000.0,,,,http://iztapalapa.properati.com.mx/pmx5_venta_casa_iztapalapa_vive_grupo-vive
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.4013979,-99.1691118",1300000.0,MXN,1288239.68,68492.42,,,,,,1.0,,http://cuauhtemoc.properati.com.mx/pmxa_venta_departamento_cuauhtemoc_alfa-inmobiliaria-encuentra_de7
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,"19.362824,-99.266178",4000000.0,MXN,3963814.82,210745.93,,162.0,,24691.35802469136,,,,http://alvaro-obregon.properati.com.mx/pmzx_venta_departamento_alvaro-obregon_carlos-lazo_15_alejandro-ramirez_e7e
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|Escandón|,"19.399461,-99.175182",953333.0,MXN,944708.82,50227.76,,90.0,,10592.58888888889,,,,http://escandon-miguel-hidalgo.properati.com.mx/pmzy_venta_departamento_escandon_de-la-union_196_marcelina-hernandez
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.409843,-99.125509",504784.0,MXN,500217.51,26595.29,,60.0,,8413.066666666668,,,,http://venustiano-carranza.properati.com.mx/pn01_venta_departamento_venustiano-carranza_rosario-castellanos_561_adami-delgadillo
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|Anahuac|,"19.449997,-99.18117",791133.0,MXN,783976.08,41682.01,,65.0,,12171.276923076925,,,,http://anahuac-miguel-hidalgo.properati.com.mx/pn04_venta_departamento_anahuac_lago-iseo_33_jorge-ramirez-linares
sell,house,|México|Distrito Federal|Tlalpan|San Andrés Totoltepec|,"19.243525,-99.176663",2400000.0,MXN,2378288.93,126447.56,,215.0,,11162.790697674418,,,,http://san-andres-totoltepec.properati.com.mx/pn08_venta_casa_san-andres-totoltepec_camino-a-xicalco_0_morales-arias-bienes-raices
