operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.375445,-99.1543144",4300500.0,MXN,4261596.45,226578.22,0.0,74.0,,58114.86486486487,,,,http://benito-juarez.properati.com.mx/l1yl_venta_departamento_benito-juarez_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.2742408542,-99.1496908665",2788000.0,MXN,2762778.87,146889.91,0.0,111.0,,25117.117117117115,,,,http://tlalpan.properati.com.mx/l1ym_venta_departamento_tlalpan_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,apartment,|México|Distrito Federal|Álvaro Obregón|Tetelpan|,"19.3427189674,-99.2225289345",3351600.0,MXN,3321280.35,176584.01,0.0,82.0,,40873.17073170732,,,,http://tetelpan.properati.com.mx/l1yn_venta_departamento_tetelpan_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.3596034,-99.1514055",2862800.0,MXN,2836902.23,150830.86,73.0,73.0,2066.1761643835616,39216.438356164384,,,,http://benito-juarez.properati.com.mx/l1yo_venta_departamento_benito-juarez_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.3953378,-99.1560855",3204800.0,MXN,3175808.45,168849.64,0.0,63.0,,50869.84126984127,,,,http://benito-juarez.properati.com.mx/l1yp_venta_departamento_benito-juarez_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.2999124,-99.1111595",3364700.0,MXN,3334261.97,177274.21,0.0,65.0,,51764.61538461538,,,,http://tlalpan.properati.com.mx/l1yq_venta_departamento_tlalpan_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.3700179,-99.1396023",2103000.0,MXN,2083975.59,110799.67,0.0,85.0,,24741.176470588234,,,,http://benito-juarez.properati.com.mx/l1yr_venta_departamento_benito-juarez_redhabitat-servicios-inmobiliarios-profesionales-s-a-de-c-v
sell,house,|México|Distrito Federal|Tlalpan|,"19.3024064,-99.2018433",1000000.0,USD,18808500.0,1000000.0,390.0,525.0,2564.102564102564,1904.7619047619048,3.0,,,http://tlalpan.properati.com.mx/l1yv_venta_casa_tlalpan_gentry-bienes-raices_7bj
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,,4680000.0,MXN,4637663.38,246572.74,0.0,209.0,,22392.344497607657,,,,http://alvaro-obregon.properati.com.mx/l212_venta_departamento_alvaro-obregon_next-home
sell,house,|México|Distrito Federal|Miguel Hidalgo|,,1100000.0,USD,20689350.0,1100000.0,630.0,450.0,1746.031746031746,2444.4444444444443,,,,http://miguel-hidalgo-df.properati.com.mx/l22o_venta_casa_miguel-hidalgo_grupo-bosques-bienes-raices
