property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|Colombia|Bogotá D.C|Usaquén|,"4.711,-74.025",209.0,523362.21
house,|Colombia|Bogotá D.C|Suba|,"4.766,-74.064",115.0,202591.82
house,|Colombia|Bogotá D.C|Usaquén|,"4.697,-74.076",164.0,253239.78
house,|Colombia|Valle del Cauca|Cali|,"3.467,-76.49",110.0,62465.81
house,|Colombia|Bogotá D.C|Usaquén|,"4.699,-74.032",178.0,418689.77
house,|Colombia|Cundinamarca|Cajicá|,"4.867,-74.038",230.0,320770.38
house,|Colombia|Valle del Cauca|Cali|,"3.39,-76.525",310.0,155320.39
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.679,-74.055",121.0,226227.53
house,|Colombia|Cundinamarca|Girardot|,"4.305,-74.803",337.0,168826.52
house,|Colombia|Bogotá D.C|Suba|,"4.729,-74.062",185.0,208669.57
house,|Colombia|Bogotá D.C|Usaquén|,"4.731,-74.038",92.0,127632.84
house,|Colombia|Atlántico|Barranquilla|Ríomar|,"11.016,-74.82",132.0,151943.86
house,|Colombia|Bogotá D.C|Suba|,"4.724,-74.062",113.0,146845.3
house,|Colombia|Bogotá D.C|Usaquén|,"4.696,-74.042",93.0,157008.66
house,|Colombia|Valle del Cauca|Cali|,"3.381,-76.526",95.0,84244.43
house,|Colombia|Bogotá D.C|Usaquén|,"4.731,-74.042",370.0,540244.86
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",94.0,91166.32
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",114.0,74283.66
house,|Colombia|Bogotá D.C|Puente Aranda|,"4.647,-74.078",130.0,138437.74
house,|Colombia|Cundinamarca|Chía|,"4.864,-74.049",300.0,438948.95
house,|Colombia|Bogotá D.C|Chapinero|,"4.648,-74.053",99.0,354974.64
house,|Colombia|Valle del Cauca|Cali|,"3.413,-76.529",350.0,67530.6
house,|Colombia|Atlántico|Barranquilla|,"11.013,-74.838",227.0,222851.0
house,|Colombia|Bogotá D.C|La Candelaria|,"4.598,-74.076",150.0,489596.9
house,|Colombia|Valle del Cauca|Cali|,"3.41,-76.496",80.0,77660.19
house,|Colombia|Bogotá D.C|Chapinero|,"4.68,-74.04",110.0,320770.38
house,|Colombia|Bogotá D.C|Usaquén|,"4.7,-74.053",150.0,222851.0
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.72,-74.051",121.0,202591.82
house,|Colombia|Bogotá D.C|Usaquén|,"4.69,-74.047",68.0,155320.39
house,|Colombia|Atlántico|Tubará|,"10.938,-75.023",180.0,195838.76
house,|Colombia|Atlántico|Barranquilla|,"10.997,-74.804",89.0,151562.97
house,|Colombia|Bogotá D.C|Usaquén|,"4.743,-74.033",98.0,103997.13
house,|Colombia|Antioquia|,"6.55687,-75.82806",230.0,202591.82
house,|Colombia|Bogotá D.C|Usaquén|,"4.695,-74.051",145.0,229604.06
house,|Colombia|Atlántico|Puerto Colombia|,"10.985,-74.96",93.0,101295.91
house,|Colombia|Bogotá D.C|Usaquén|,"4.764,-74.043",198.0,162073.45
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",130.0,113113.76
house,|Colombia|Quindío|Armenia|,"4.553,-75.656",348.0,232980.59
house,|Colombia|Atlántico|Barranquilla|,"11.005,-74.809",360.0,303887.73
house,|Colombia|Bogotá D.C|Chapinero|,"4.669,-74.058",99.0,323504.7
house,|Colombia|Atlántico|Barranquilla|,"10.997,-74.823",171.0,152293.33
house,|Colombia|Antioquia|Medellín|El Poblado|,"6.253,-75.565",320.0,243110.18
house,|Colombia|Bogotá D.C|Chapinero|,"4.644,-74.058",72.0,141814.27
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",155.0,204111.26
apartment,|Colombia|Cundinamarca|,"4.7450651608,-74.0250078035",77.0,120000.68
house,|Colombia|Atlántico|Barranquilla|,"11.009,-74.81",220.0,202591.82
house,|Colombia|Atlántico|Barranquilla|,"11.023,-74.817",77.0,94542.85
apartment,|Colombia|Santander|Bucaramanga|,"7.1196559699,-73.1082225444",212.0,303887.73
house,|Colombia|Atlántico|Barranquilla|,"10.991,-74.797",83.0,70063.0
house,|Colombia|Bogotá D.C|Suba|,"4.757,-74.054",83.0,118178.56
house,|Colombia|Atlántico|Soledad|,,423.0,506479.56
house,|Colombia|Cundinamarca|Guaduas|,"5.067,-74.595",75.0,253239.78
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.7,-74.052",162.0,406452.54
house,|Colombia|Bogotá D.C|Suba|,"4.756,-74.07",220.0,192462.23
house,|Colombia|Bogotá D.C|Usaquén|,"4.717,-74.029",270.0,371418.34
house,|Colombia|Bogotá D.C|Suba|,"4.721,-74.06",94.0,155320.39
house,|Colombia|Cundinamarca|Zipaquirá|,"5.027,-74.01",120.0,141814.27
house,|Colombia|Valle del Cauca|Cali|,"3.366,-76.517",300.0,101295.91
house,|Colombia|Bogotá D.C|Usaquén|,"4.686,-74.036",125.0,173891.31
house,|Colombia|Bogotá D.C|Usaquén|,"4.709,-74.03",75.0,113113.76
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",73.0,65842.34
house,|Colombia|Bogotá D.C|Usaquén|,"4.704,-74.051",150.0,244798.45
house,|Colombia|Valle del Cauca|Cali|,"3.452,-76.532",211.0,320770.38
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.676,-74.056",82.0,195838.76
house,|Colombia|Bogotá D.C|Fontibón|,"4.662,-74.129",101.0,106360.7
house,|Colombia|Bogotá D.C|Usaquén|,"4.695,-74.042",66.0,143502.54
house,|Colombia|Valle del Cauca|Jamundí|,"3.296,-76.527",200.0,151943.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.7,-74.034",70.0,128308.15
house,|Colombia|Cundinamarca|Girardot|,"4.28,-74.769",92.0,95049.33
house,|Colombia|Atlántico|Barranquilla|,"11.023,-74.817",83.0,84413.26
house,|Colombia|Atlántico|Puerto Colombia|,"10.988,-74.956",400.0,209344.88
house,|Colombia|Bogotá D.C|Chapinero|,"4.686,-74.044",114.0,195838.76
house,|Colombia|Bogotá D.C|Kennedy|,"4.629,-74.141",135.0,84413.26
house,|Colombia|Bogotá D.C|Usaquén|,"4.711,-74.026",204.0,540244.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.693,-74.048",206.0,455831.6
house,|Colombia|Bogotá D.C|Usaquén|,"4.704,-74.027",110.0,212721.41
apartment,|Colombia|Santander|Bucaramanga|,"7.1272314684,-73.1112134457",105.0,109990.47
house,|Colombia|Bogotá D.C|Suba|,"4.694,-74.067",133.0,195838.76
house,|Colombia|Bogotá D.C|Suba|,"4.739,-74.066",76.0,121555.09
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.63,-74.106",68.0,79348.46
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.712,-74.096",144.0,96231.11
house,|Colombia|Bogotá D.C|Usaquén|,"4.675,-74.049",74.0,192462.23
house,|Colombia|Bogotá D.C|Usaquén|,"4.704,-74.032",109.0,209344.88
house,|Colombia|Caldas|Manizales|,"5.053,-75.496",250.0,175579.58
house,|Colombia|Atlántico|Barranquilla|,"11.005,-74.812",314.0,438948.95
house,|Colombia|Bogotá D.C|Usaquén|,"4.693,-74.033",98.0,422066.3
house,|Colombia|Cundinamarca|Cota|,"4.809,-74.103",240.0,287005.08
house,|Colombia|Bogotá D.C|Suba|,"4.706,-74.063",256.0,320770.38
house,|Colombia|Bogotá D.C|Usaquén|,"4.691,-74.039",94.0,405183.64
house,|Colombia|Bogotá D.C|Usaquén|,"4.746,-74.025",72.0,87789.79
house,|Colombia|Bogotá D.C|Suba|,"4.723,-74.063",194.0,253239.78
house,|Colombia|Bogotá D.C|Usaquén|,"4.697,-74.04",139.0,319082.12
house,|Colombia|Bogotá D.C|Barrios Unidos|,"4.721,-74.05",96.0,151943.86
house,|Colombia|Atlántico|Barranquilla|,"11.021,-74.819",69.0,84413.26
house,|Colombia|Bogotá D.C|Suba|,"4.75,-74.091",70.0,67530.6
house,|Colombia|Bogotá D.C|Suba|,"4.725,-74.077",240.0,503103.03
house,|Colombia|Bogotá D.C|Usaquén|,"4.726,-74.034",73.0,109737.23
house,|Colombia|Atlántico|Barranquilla|,"11.012,-74.809",210.0,185709.17
house,|Colombia|Bogotá D.C|Suba|,"4.741,-74.058",88.0,101295.91
apartment,|Colombia|Bolívar|Cartagena|,"10.392332,-75.475029",74.0,67530.6
house,|Colombia|Bogotá D.C|Suba|,"4.692,-74.075",166.0,195838.76
house,|Colombia|Atlántico|Barranquilla|,"11.0,-74.835",240.0,405183.64
house,|Colombia|Bogotá D.C|Usaquén|,"4.711,-74.025",203.0,523362.21
house,|Colombia|Cundinamarca|Chía|,"4.863,-74.054",240.0,138437.74
house,|Colombia|Bogotá D.C|Usaquén|,"4.724,-74.042",116.0,175579.58
house,|Colombia|Atlántico|Barranquilla|,"11.004,-74.807",86.0,94542.85
house,|Colombia|Bogotá D.C|Usaquén|,"4.717,-74.025",315.0,574010.17
apartment,|Colombia|Magdalena|Santa Marta|,,89.0,101971.21
house,|Colombia|Bogotá D.C|Usaquén|,"4.729,-74.033",118.0,135061.21
house,|Colombia|Atlántico|Barranquilla|,"11.011,-74.829",93.0,111425.5
house,|Colombia|Cundinamarca|Chía|,"4.85,-74.058",121.0,140126.01
house,|Colombia|Valle del Cauca|Palmira|,"3.594,-76.427",230.0,200903.55
house,|Colombia|Atlántico|Puerto Colombia|,"11.017,-74.932",85.0,74477.81
apartment,|Colombia|Antioquia|Copacabana|,"6.357446,-75.499495",115.0,87789.79
house,|Colombia|Bogotá D.C|Usaquén|,"4.706,-74.04",75.0,183649.48
house,|Colombia|Bogotá D.C|Usaquén|,"4.725,-74.04",80.0,138437.74
house,|Colombia|Bogotá D.C|Usaquén|,"4.702,-74.053",174.0,393216.55
house,|Colombia|Bogotá D.C|Engativa|,"4.686,-74.111",192.0,111425.5
house,|Colombia|Bogotá D.C|Usaquén|,"4.721,-74.045",119.0,337653.04
house,|Colombia|Bogotá D.C|Suba|,"4.699,-74.06",320.0,472714.25
house,|Colombia|Valle del Cauca|Cali|,"3.328,-76.639",76.0,108048.97
house,|Colombia|Atlántico|Barranquilla|,"10.981,-74.791",240.0,111425.5
house,|Colombia|Valle del Cauca|Cali|,"3.421,-76.522",164.0,202591.82
house,|Colombia|Bogotá D.C|San Cristobal|,"4.583,-74.084",210.0,540244.86
house,|Colombia|Bogotá D.C|Usaquén|,"4.687,-74.047",102.0,222851.0
house,|Colombia|Cundinamarca|Choachí|,"4.527,-73.923",139.0,111425.5
house,|Colombia|Bogotá D.C|Teusaquillo|,"4.645,-74.091",320.0,263369.37
house,|Colombia|Caldas|Manizales|,"5.066,-75.506",419.0,246486.72
house,|Colombia|Bogotá D.C|Suba|,"4.65,-74.053",154.0,371418.34
house,|Colombia|Cundinamarca|Chía|,"4.864,-74.064",164.0,138437.74
house,|Colombia|Cundinamarca|Cajicá|,"4.94,-74.033",210.0,266745.9
house,|Colombia|Atlántico|Barranquilla|Ríomar|,"11.004,-74.807",81.0,123844.72
house,|Colombia|Bogotá D.C|Fontibón|,"4.664,-74.079",130.0,287005.08
house,|Colombia|Cundinamarca|Chía|,"4.891,-74.046",317.0,455831.6
house,|Colombia|Bogotá D.C|Usaquén|,"4.766,-74.042",150.0,160385.19
house,|Colombia|Bogotá D.C|Suba|,"4.669,-74.052",259.0,567257.1
house,|Colombia|Atlántico|Barranquilla|,"10.994,-74.799",288.0,131684.68
house,|Colombia|Bogotá D.C|Suba|,"4.701,-74.065",111.0,132528.81
house,|Colombia|Bogotá D.C|Usaquén|,"4.739,-74.044",105.0,175579.58
house,|Colombia|Bogotá D.C|Usaquén|,"4.706,-74.046",82.0,175579.58
house,|Colombia|Bogotá D.C|Chapinero|,"4.64,-74.059",177.0,354535.69
apartment,|Colombia|Atlántico|Barranquilla|,"10.9933868,-74.8053829",332.0,478288.44
house,|Colombia|Bogotá D.C|Chapinero|,"4.673,-74.059",204.0,540244.86
house,|Colombia|Cundinamarca|Chía|,"4.847,-74.061",268.0,236357.12
house,|Colombia|Atlántico|Barranquilla|,"11.015,-74.805",300.0,155320.39
house,|Colombia|Bogotá D.C|Chapinero|,"4.675,-74.055",157.0,320770.38
house,|Colombia|Bogotá D.C|Usaquén|,"4.711,-74.072",142.0,358563.89
house,|Colombia|Valle del Cauca|Cali|,"3.484,-76.523",220.0,96231.11
house,|Colombia|Bogotá D.C|Usaquén|,"4.723,-74.039",76.0,94542.85
house,|Colombia|Atlántico|Barranquilla|,"10.993,-74.825",184.0,195838.76
house,|Colombia|Bogotá D.C|Suba|,"4.7,-74.05",205.0,287005.08
house,|Colombia|Bogotá D.C|Usaquén|,"4.718,-74.046",80.0,118178.56
house,|Colombia|Cundinamarca|Cota|,"4.805,-74.092",405.0,574010.17
house,|Colombia|Bogotá D.C|Chapinero|,"4.65,-74.06",268.0,263369.37
house,|Colombia|Cundinamarca|Chía|,"4.863,-74.051",100.0,104672.44
house,|Colombia|Bogotá D.C|Usaquén|,"4.729,-74.047",97.0,114970.86
house,|Colombia|Bogotá D.C|San Cristobal|,"4.564,-74.103",72.0,86101.52
house,|Colombia|Bogotá D.C|Suba|,"4.653,-74.132",170.0,455831.6
house,|Colombia|Bogotá D.C|Kennedy|,"4.617,-74.144",246.0,124931.62
house,|Colombia|Bogotá D.C|Usaquén|,"4.71,-74.035",131.0,243110.18
house,|Colombia|Quindío|Armenia|,"4.561,-75.657",80.0,67530.6
house,|Colombia|Bogotá D.C|Chapinero|,"4.677,-74.057",203.0,539907.21
apartment,|Colombia|Bogotá D.C|,,260.0,415313.24
house,|Colombia|Cundinamarca|Cota|,"4.809,-74.103",420.0,574010.17
house,|Colombia|Bogotá D.C|Suba|,"4.792,-74.061",176.0,232980.59
house,|Colombia|Bogotá D.C|Suba|,"4.703,-74.059",250.0,263369.37
house,|Colombia|Valle del Cauca|Cali|,"3.4362409,-76.54577",330.0,258515.76
house,|Colombia|Atlántico|Barranquilla|,"11.006,-74.815",136.0,192433.89
house,|Colombia|Bogotá D.C|Usaquén|,"4.725,-74.029",147.0,202591.82
house,|Colombia|Bogotá D.C|Suba|,"4.765,-74.046",94.0,121555.09
house,|Colombia|Bogotá D.C|Usaquén|,"4.723,-74.029",90.0,158359.27
house,|Colombia|Antioquia|Marinilla|,"6.157,-75.312",140.0,108048.97
house,|Colombia|Antioquia|,"6.057394,-75.502792",270.0,263369.37
house,|Colombia|Atlántico|Puerto Colombia|,"10.985,-74.96",98.0,104672.44
