property_type,department,lat,lon,area_m2,price_usd
apartment,Cundinamarca,4.7094909377,-74.0493249742,71.0,"$147,429.41"
house,Atlántico,11.004,-74.807,235.0,"$219,474.47"
house,Bogotá D.C,4.708,-74.063,290.0,"$455,831.60"
house,Cundinamarca,4.855,-74.054,170.0,"$150,255.60"
house,Bogotá D.C,4.541,-74.163,65.0,"$67,496.84"
house,Atlántico,10.991,-74.819,123.0,"$115,695.13"
house,Bogotá D.C,4.716,-74.049,191.0,"$259,992.84"
house,Bogotá D.C,4.691,-74.042,85.0,"$162,073.45"
house,Bogotá D.C,4.725,-74.037,136.0,"$192,462.23"
house,Valle del Cauca,3.454,-76.536,92.0,"$77,660.19"
house,Bogotá D.C,4.693,-74.042,76.0,"$155,320.39"
house,Cundinamarca,4.917,-74.022,104.0,"$123,243.36"
house,Bogotá D.C,4.717,-74.027,186.0,"$422,066.30"
house,Bogotá D.C,4.61,-74.185,138.0,"$65,470.92"
house,Atlántico,10.991,-74.824,84.0,"$104,672.44"
house,Antioquia,6.1105148786,-75.4523849487,162.0,"$178,956.11"
house,Bogotá D.C,4.686,-74.065,320.0,"$249,863.25"
house,Cundinamarca,4.855,-74.262,200.0,"$94,542.85"
house,Caldas,5.067,-75.518,220.0,"$81,036.72"
house,Atlántico,11.005,-74.812,284.0,"$506,479.56"
apartment,Santander,7.1245037,-73.1101447,135.0,"$104,672.44"
house,Bogotá D.C,4.708,-74.041,234.0,"$506,479.56"
house,Atlántico,10.985,-74.812,420.0,"$185,709.17"
house,Bogotá D.C,4.726,-74.041,98.0,"$126,619.89"
house,Bogotá D.C,4.749,-74.087,75.0,"$64,154.07"
apartment,Bogotá D.C,,,117.0,"$175,579.58"
house,Bogotá D.C,4.675,-74.098,312.0,"$330,899.98"
house,Bogotá D.C,4.7,-74.051,232.0,"$540,244.86"
house,Bogotá D.C,4.604,-74.134,175.0,"$253,239.78"
house,Bogotá D.C,4.739,-74.064,125.0,"$216,097.94"
house,Bogotá D.C,4.694,-74.051,64.0,"$113,113.76"
house,Cundinamarca,4.875,-74.054,407.0,"$337,653.04"
house,Bogotá D.C,4.818,-74.052,322.0,"$574,010.17"
house,Bogotá D.C,4.656,-74.07,146.0,"$158,696.92"
house,Atlántico,11.006,-74.806,185.0,"$195,838.76"
house,Valle del Cauca,3.45,-76.542,260.0,"$141,814.27"
house,Cundinamarca,4.867,-74.067,110.0,"$74,283.66"
house,Atlántico,11.019,-74.821,93.0,"$111,425.50"
house,Bogotá D.C,4.724,-74.023,190.0,"$388,300.99"
house,Cundinamarca,4.92,-74.027,128.0,"$148,567.33"
house,Atlántico,11.009,-74.834,150.0,"$158,696.92"
house,Atlántico,11.009,-74.834,238.0,"$208,669.57"
house,Atlántico,10.993,-74.821,361.0,"$219,474.47"
house,Bogotá D.C,4.665,-74.123,130.0,"$219,474.47"
house,Bogotá D.C,4.705,-74.063,260.0,"$371,418.34"
house,Atlántico,10.987,-74.802,91.0,"$74,283.66"
house,Quindío,4.549,-75.66,72.0,"$65,842.34"
house,Atlántico,11.001,-74.951,210.0,"$270,122.43"
house,Bogotá D.C,4.716,-74.031,86.0,"$158,696.92"
house,Atlántico,10.994,-74.796,220.0,"$303,887.73"
house,Bogotá D.C,4.622,-74.165,135.0,"$185,709.17"
house,Magdalena,,,74.0,"$153,868.15"
house,Atlántico,11.009,-74.825,243.0,"$235,006.51"
house,Bogotá D.C,4.675,-74.139,83.0,"$192,462.23"
house,Bogotá D.C,4.695,-74.039,156.0,"$243,110.18"
house,Bogotá D.C,4.75,-74.062,74.0,"$91,132.55"
house,Atlántico,11.0,-74.802,205.0,"$219,474.47"
house,Cundinamarca,4.719,-73.971,270.0,"$472,714.25"
house,Antioquia,6.284,-75.449,300.0,"$73,692.77"
house,Bogotá D.C,4.641,-74.143,228.0,"$371,418.34"
house,Bogotá D.C,4.709,-74.083,184.0,"$297,134.67"
house,Bogotá D.C,4.713,-74.077,202.0,"$287,005.08"
house,Caldas,5.067,-75.518,97.0,"$74,283.66"
house,Bogotá D.C,4.699,-74.06,90.0,"$118,178.56"
house,Atlántico,10.988,-74.959,385.0,"$320,770.38"
house,Bogotá D.C,4.708,-74.082,138.0,"$246,486.72"
house,Valle del Cauca,3.882,-77.023,255.0,"$77,660.19"
house,Bogotá D.C,4.732,-74.026,195.0,"$300,511.20"
house,Atlántico,10.969,-74.832,197.0,"$320,770.38"
house,Bogotá D.C,4.727,-74.078,117.0,"$185,709.17"
house,Bogotá D.C,4.702,-74.049,104.0,"$185,709.17"
house,Atlántico,11.025,-74.859,274.0,"$276,875.49"
house,Bogotá D.C,4.677,-74.056,187.0,"$371,418.34"
house,Bogotá D.C,4.689,-74.049,156.0,"$303,887.73"
house,Atlántico,11.019,-74.812,335.0,"$175,579.58"
house,Bogotá D.C,4.7,-74.046,116.0,"$243,110.18"
house,Bogotá D.C,4.694,-74.08,84.0,"$141,814.27"
house,Bogotá D.C,4.732,-74.054,70.0,"$84,413.26"
house,Bogotá D.C,4.728,-74.034,77.0,"$86,101.52"
house,Bogotá D.C,4.7109886,-74.072092,181.0,"$147,395.12"
house,Atlántico,11.005,-74.806,125.0,"$168,826.52"
house,Cundinamarca,4.855,-74.059,193.0,"$253,239.78"
house,Bogotá D.C,4.667,-74.047,138.0,"$270,122.43"
house,Bogotá D.C,4.717,-74.08,180.0,"$314,017.32"
house,Cundinamarca,4.331,-74.368,95.0,"$77,660.19"
house,Atlántico,11.015,-74.82,87.0,"$124,610.50"
house,Cundinamarca,4.918,-74.025,66.0,"$149,748.02"
house,Antioquia,6.218,-75.567,281.0,"$303,887.73"
apartment,Cundinamarca,,,93.0,"$126,857.86"
house,Cundinamarca,,,158.0,"$371,418.34"
house,Atlántico,11.002,-74.832,230.0,"$270,122.43"
house,Valle del Cauca,3.452,-76.532,83.0,"$74,283.66"
house,Bogotá D.C,4.621,-74.075,65.0,"$125,891.91"
house,Bogotá D.C,4.642,-74.06,260.0,"$371,418.34"
house,Bogotá D.C,4.667,-74.046,125.0,"$300,511.20"
house,Cundinamarca,4.918,-74.025,205.0,"$422,066.30"
house,Tolima,4.153,-74.715,180.0,"$101,295.91"
house,Bogotá D.C,4.756,-74.07,138.0,"$182,332.64"
house,Bogotá D.C,4.702,-74.058,262.0,"$259,992.84"
house,Bogotá D.C,4.598,-74.07,419.0,"$574,010.17"
house,Meta,4.16,-73.646,132.0,"$220,149.78"
apartment,Bolívar,10.386308,-75.468268,91.0,"$82,724.99"
house,Bogotá D.C,4.682,-74.055,129.0,"$293,758.14"
house,Cundinamarca,4.721,-73.975,220.0,"$371,418.34"
house,Atlántico,11.004,-74.807,115.0,"$137,642.10"
house,Bogotá D.C,4.721,-74.042,96.0,"$124,931.62"
house,Bogotá D.C,4.641,-74.073,74.0,"$81,036.72"
house,Bolívar,10.412,-75.535,220.0,"$209,344.88"
house,Atlántico,11.001,-74.951,99.0,"$112,764.97"
house,Bolívar,10.457,-75.509,196.0,"$266,745.90"
house,Atlántico,11.004,-74.807,128.0,"$67,159.18"
house,Atlántico,11.002,-74.801,225.0,"$287,005.08"
house,Cundinamarca,4.936,-74.076,167.0,"$270,122.43"
house,Antioquia,6.336,-75.402,208.0,"$240,071.31"
house,Valle del Cauca,3.66,-76.581,300.0,"$94,542.85"
house,Bogotá D.C,4.773,-74.027,235.0,"$438,948.95"
house,Bogotá D.C,4.735,-74.034,152.0,"$189,085.70"
house,Bogotá D.C,4.634,-74.168,84.0,"$94,542.85"
house,Atlántico,11.014,-74.816,415.0,"$337,653.04"
house,Cundinamarca,4.495,-74.259,206.0,"$151,943.86"
house,Bogotá D.C,4.727,-74.036,84.0,"$128,308.15"
house,Bogotá D.C,4.687,-74.06,78.0,"$97,919.38"
house,Bogotá D.C,4.684,-74.056,92.0,"$256,616.31"
house,Bogotá D.C,4.689,-74.108,170.0,"$165,449.99"
house,Tolima,,,420.0,"$158,696.92"
house,Bogotá D.C,4.707,-74.029,184.0,"$330,899.98"
house,Bogotá D.C,4.735,-74.051,74.0,"$83,737.95"
house,Antioquia,,,139.0,"$140,126.01"
house,Bogotá D.C,4.706,-74.04,78.0,"$218,866.70"
apartment,Cundinamarca,,,73.0,"$171,429.55"
house,Bogotá D.C,4.682,-74.051,114.0,"$229,604.06"
house,Bogotá D.C,4.735,-74.027,122.0,"$158,696.92"
house,Atlántico,10.985,-74.96,115.0,"$124,931.62"
house,Valle del Cauca,3.393,-76.536,143.0,"$81,036.72"
house,Bogotá D.C,4.7,-74.028,220.0,"$354,535.69"
house,Valle del Cauca,3.444,-76.499,290.0,"$101,295.91"
house,Cundinamarca,4.899,-74.05,240.0,"$330,899.98"
house,Valle del Cauca,3.461,-76.534,230.0,"$87,789.79"
house,Cundinamarca,4.865,-74.051,82.0,"$101,295.91"
house,Bogotá D.C,4.677,-74.042,76.0,"$315,954.78"
house,Valle del Cauca,3.368,-76.534,220.0,"$108,048.97"
house,Bogotá D.C,4.715,-74.05,161.0,"$354,535.69"
house,Bogotá D.C,4.74,-74.069,116.0,"$145,157.04"
house,Bogotá D.C,4.647,-74.062,131.0,"$146,879.07"
house,Bogotá D.C,4.753,-74.064,72.0,"$97,581.72"
