operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|México|Distrito Federal|Tlalpan|Fuentes del Pedregal|,"19.302422,-99.230829",1962000.0,MXN,1944251.19,103370.88,,100.0,,19620.0,,,,http://fuentes-del-pedregal.properati.com.mx/o45x_venta_departamento_fuentes-del-pedregal_fuente-de-la-infancia_47_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.428152,-99.106194",1275000.0,MXN,1263465.87,67175.26,,68.0,,18750.0,,,,http://venustiano-carranza.properati.com.mx/o45z_venta_departamento_venustiano-carranza_inventario-inmobiliario-7
sell,house,|México|Distrito Federal|Iztacalco|,"19.404611,-99.069557",1866667.0,MXN,1849780.61,98348.12,,95.0,,19649.126315789475,,,,http://iztacalco.properati.com.mx/o460_venta_casa_iztacalco_calle-cinco_0_jesus-cid-del-prado
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.428152,-99.106194",1275000.0,MXN,1263465.87,67175.26,,68.0,,18750.0,,,,http://venustiano-carranza.properati.com.mx/o462_venta_departamento_venustiano-carranza_inventario-inmobiliario-8
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.3653,-99.148217",1210000.0,MXN,1199053.91,63750.64,,67.0,,18059.701492537315,,,,http://benito-juarez.properati.com.mx/o463_venta_departamento_benito-juarez_general-emiliano-zapata_117_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Coyoacán|,"19.33758,-99.126403",1750000.0,MXN,1734168.9,92201.34,,66.0,,26515.15151515152,,,,http://coyoacan.properati.com.mx/o464_venta_departamento_coyoacan_ex-ejido-de-tomatlan_1_israel-hernandez
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.456993,-99.118637",931000.0,MXN,922577.8,49051.11,,56.0,,16625.0,,,,http://venustiano-carranza.properati.com.mx/o469_venta_departamento_venustiano-carranza_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Álvaro Obregón|La Otra Banda|,"19.335033,-99.200347",2810872.0,MXN,2785444.05,148094.96,,150.0,,18739.146666666667,,,,http://la-otra-banda.properati.com.mx/o46b_venta_departamento_la-otra-banda_iglesia_2_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.456993,-99.118637",931000.0,MXN,922577.8,49051.11,,56.0,,16625.0,,,,http://venustiano-carranza.properati.com.mx/o46c_venta_departamento_venustiano-carranza_inventario-inmobiliario-8
sell,house,|México|Distrito Federal|Iztapalapa|,"19.349662,-99.127676",2046667.0,MXN,2028152.15,107831.68,,95.0,,21543.86315789473,,,,http://iztapalapa.properati.com.mx/o46e_venta_casa_iztapalapa_rio-churubusco_0_jesus-cid-del-prado
sell,house,|México|Distrito Federal|Álvaro Obregón|,"19.341894,-99.224525",2605226.0,MXN,2581658.28,137260.19,,100.0,,26052.26,,,,http://alvaro-obregon.properati.com.mx/o46f_venta_casa_alvaro-obregon_encino-grande-antes-ejercito-de-salvacion-fracc-c-del-lt-b-del-predio-gral-el-po_0_adami-delgadillo
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.364005,-99.153602",1986558.0,MXN,1968586.95,104664.75,,60.0,,33109.3,,,,http://benito-juarez.properati.com.mx/o46h_venta_departamento_benito-juarez_tokio_810_damiana-sanchez
sell,apartment,|México|Distrito Federal|Tlalpan|Lomas del Pedregal|,"19.275206,-99.218292",6580000.0,MXN,6520475.48,346677.06,,160.0,,41125.0,,,,http://lomas-del-pedregal.properati.com.mx/o46m_venta_departamento_lomas-del-pedregal_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Tlalpan|Lomas del Pedregal|,"19.275206,-99.218292",6580000.0,MXN,6520475.48,346677.06,,160.0,,41125.0,,,,http://lomas-del-pedregal.properati.com.mx/o46o_venta_departamento_lomas-del-pedregal_inventario-inmobiliario-8
sell,apartment,|México|Distrito Federal|Tlalpan|Lomas del Pedregal|,"19.275206,-99.218292",6200000.0,MXN,6143912.94,326656.19,,137.0,,45255.47445255474,,,,http://lomas-del-pedregal.properati.com.mx/o46w_venta_departamento_lomas-del-pedregal_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.381001,-99.145132",1425559.0,MXN,1412662.98,75107.69,,60.0,,23759.316666666666,,,,http://benito-juarez.properati.com.mx/o46y_venta_departamento_benito-juarez_mario-rojas-avendano_0_carlos-cejudo-escamilla
sell,apartment,|México|Distrito Federal|Tlalpan|Lomas del Pedregal|,"19.275206,-99.218292",6200000.0,MXN,6143912.94,326656.19,,137.0,,45255.47445255474,,,,http://lomas-del-pedregal.properati.com.mx/o46z_venta_departamento_lomas-del-pedregal_inventario-inmobiliario-8
sell,house,|México|Distrito Federal|Iztapalapa|Francisco Villa|,"19.334197,-99.059029",1136667.0,MXN,1126384.26,59886.98,,70.0,,16238.1,,,,http://francisco-villa-iztapalapa.properati.com.mx/o471_venta_casa_francisco-villa_raul-madero_0_jesus-cid-del-prado
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.396942,-99.1523",1689000.0,MXN,1673720.82,88987.47,,78.0,,21653.846153846152,,,,http://benito-juarez.properati.com.mx/o474_venta_departamento_benito-juarez_peten_38_omar-flores
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.453996,-99.195188",557600.0,MXN,552555.73,29377.98,,60.0,,9293.333333333334,,,,http://miguel-hidalgo-df.properati.com.mx/o475_venta_departamento_miguel-hidalgo_f-carrillo-puerto_642_carlos-alvarez-corona
sell,house,|México|Distrito Federal|Iztapalapa|Unidad Modelo|,"19.368214,-99.12385",1284667.0,MXN,1273045.42,67684.58,,70.0,,18352.38571428572,,,,http://unidad-modelo.properati.com.mx/o477_venta_casa_unidad-modelo_calle-111-a_0_jesus-cid-del-prado
sell,apartment,|México|Distrito Federal|Tlalpan|Arenal Tepepan|,"19.286619,-99.152534",2680000.0,MXN,2655755.87,141199.77,,110.0,,24363.636363636364,,,,http://arenal-tepepan.properati.com.mx/o478_venta_departamento_arenal-tepepan_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Álvaro Obregón|San Angel|,"19.34518,-99.189969",891000.0,MXN,882939.64,46943.65,,64.0,,13921.875,,,,http://san-angel.properati.com.mx/o47b_venta_departamento_san-angel_av-revolucion_1297_adami-delgadillo
sell,apartment,|México|Distrito Federal|Tlalpan|Arenal Tepepan|,"19.286619,-99.152534",2680000.0,MXN,2655755.87,141199.77,,110.0,,24363.636363636364,,,,http://arenal-tepepan.properati.com.mx/o47c_venta_departamento_arenal-tepepan_inventario-inmobiliario-8
sell,house,|México|Distrito Federal|Gustavo A. Madero|San Juan de Aragón|,"19.471439,-99.086534",1430000.0,MXN,1417063.8,75341.67,,10.0,,143000.0,,,,http://san-juan-de-aragon.properati.com.mx/o47d_venta_casa_san-juan-de-aragon_625_1_edmundo-pardavell-juarez
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.389044,-99.179657",1000000.0,MXN,990953.65,52686.48,,96.0,,10416.666666666666,,,,http://benito-juarez.properati.com.mx/o47g_venta_departamento_benito-juarez_indiana_80_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Tlalpan|Fuentes de Tepepan|,"19.271467,-99.146309",2396000.0,MXN,2374325.04,126236.81,,97.0,,24701.03092783505,,,,http://fuentes-de-tepepan.properati.com.mx/o47o_venta_departamento_fuentes-de-tepepan_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Tlalpan|Fuentes de Tepepan|,"19.271467,-99.146309",2396000.0,MXN,2374325.04,126236.81,,97.0,,24701.03092783505,,,,http://fuentes-de-tepepan.properati.com.mx/o47r_venta_departamento_fuentes-de-tepepan_inventario-inmobiliario-8
sell,store,|México|Distrito Federal|Cuauhtémoc|,"19.423294,-99.159679",7813333.0,MXN,7742651.43,411657.04,,397.0,,19680.939546599497,,,,http://cuauhtemoc.properati.com.mx/o47u_venta_local_cuauhtemoc_cordoba_4_fernando-vazquez-reyes
sell,house,|México|Distrito Federal|Iztapalapa|,"19.393568,-98.970557",1124000.0,MXN,1113831.84,59219.6,,10.0,,112400.0,,,,http://iztapalapa.properati.com.mx/o47y_venta_casa_iztapalapa_cerrada-de-tijuana_1_edmundo-pardavell-juarez
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.383446,-99.137643",1301030.0,MXN,1289260.41,68546.69,,60.0,,21683.83333333333,,,,http://benito-juarez.properati.com.mx/o480_venta_departamento_benito-juarez_virginia_46_damiana-sanchez
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.454582,-99.145651",806000.0,MXN,798708.59,42465.3,,209.0,,3856.4593301435407,,,,http://cuauhtemoc.properati.com.mx/o483_venta_departamento_cuauhtemoc_prolongacion-de-guerrero-edificio-miguel-hidalgo-_380_braulio-fermin
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.445355,-99.179624",1295000.0,MXN,1283284.95,68228.99,,10.0,,129500.0,,,,http://miguel-hidalgo-df.properati.com.mx/o484_venta_departamento_miguel-hidalgo_marina-nacional_2_edmundo-pardavell-juarez
sell,house,|México|Distrito Federal|Cuauhtémoc|,"19.411685,-99.166322",4711460.0,MXN,4668838.84,248230.26,,319.0,,14769.467084639498,,,,http://cuauhtemoc.properati.com.mx/o486_venta_casa_cuauhtemoc_manzanillo_1_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.404442,-99.162688",1434000.0,MXN,1421027.5,75552.41,,105.0,,13657.142857142857,,,,http://cuauhtemoc.properati.com.mx/o489_venta_departamento_cuauhtemoc_medellin_340_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Tlalpan|Miguel Hidalgo|,"19.287188,-99.170525",1300000.0,MXN,1288239.68,68492.42,,50.0,,26000.0,,,,http://miguel-hidalgo-tlalpan.properati.com.mx/o48b_venta_departamento_miguel-hidalgo_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Álvaro Obregón|Tetelpan|,"19.336195,-99.23692",1712000.0,MXN,1696512.78,90199.26,,91.0,,18813.18681318681,,,,http://tetelpan.properati.com.mx/o48c_venta_departamento_tetelpan_mimosa_89_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Tlalpan|Miguel Hidalgo|,"19.287188,-99.170525",1300000.0,MXN,1288239.68,68492.42,,50.0,,26000.0,,,,http://miguel-hidalgo-tlalpan.properati.com.mx/o48f_venta_departamento_miguel-hidalgo_inventario-inmobiliario-8
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.395097,-99.150424",1008952.0,MXN,999824.68,53158.13,,80.0,,12611.9,,,,http://benito-juarez.properati.com.mx/o48g_venta_departamento_benito-juarez_monte-alban_115_fernando-vazquez-reyes
sell,house,|México|Distrito Federal|Benito Juárez|,"19.403597,-99.149771",4888000.0,MXN,4843781.78,257531.53,,380.0,,12863.157894736842,,,,http://benito-juarez.properati.com.mx/o48m_venta_casa_benito-juarez_monte-alban_1_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.441816,-99.092908",603333.0,MXN,597875.0,31787.49,,60.0,,10055.55,,,,http://venustiano-carranza.properati.com.mx/o48q_venta_departamento_venustiano-carranza_oceania_222_carlos-alvarez-corona
sell,house,|México|Distrito Federal|Coyoacán|,"19.314915,-99.130051",2588281.0,MXN,2564866.61,136367.42,,280.0,,9243.860714285714,,,,http://coyoacan.properati.com.mx/o48r_venta_casa_coyoacan_ofiuco_1_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.298168,-99.113106",1790000.0,MXN,1773807.06,94308.8,,57.0,,31403.508771929824,,,,http://tlalpan.properati.com.mx/o48s_venta_departamento_tlalpan_inventario-inmobiliario-7
sell,apartment,|México|Distrito Federal|Coyoacán|Paseos de Taxqueña|,"19.348122,-99.125716",1648660.0,MXN,1633745.61,86862.09,,85.0,,19396.0,,,,http://paseos-de-taxquena.properati.com.mx/o48t_venta_departamento_paseos-de-taxquena_paseos-de-cipreses_51_fernando-vazquez-reyes
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.298168,-99.113106",1790000.0,MXN,1773807.06,94308.8,,57.0,,31403.508771929824,,,,http://tlalpan.properati.com.mx/o48u_venta_departamento_tlalpan_inventario-inmobiliario-8
sell,house,|México|Distrito Federal|Coyoacán|,"19.348655,-99.126983",3110000.0,MXN,3081866.01,163854.96,,300.0,,10366.666666666666,,,,http://coyoacan.properati.com.mx/o48x_venta_casa_coyoacan_paseos-de-los-trojes_1_fernando-vazquez-reyes
