operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|,,3735000.0,MXN,3701212.05,196784.01,,83.0,,45000.0,,,,http://cuajimalpa-de-morelos.properati.com.mx/oyno_venta_departamento_cuajimalpa-de-morelos_inventario-inmobiliario-5
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|,,3735000.0,MXN,3701212.05,196784.01,,83.0,,45000.0,,,,http://cuajimalpa-de-morelos.properati.com.mx/oynt_venta_departamento_cuajimalpa-de-morelos_inventario-inmobiliario-6
sell,apartment,|México|Distrito Federal|Coyoacán|Avante|,"19.329553,-99.139745",2700000.0,MXN,2675574.95,142253.5,,82.0,,32926.829268292684,,,,http://avante.properati.com.mx/oynu_venta_departamento_avante_calzada-de-tlalpan_2550_alejandro-arriaga
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.402478,-99.120531",586667.0,MXN,581359.82,30909.42,,60.0,,9777.783333333333,,,,http://venustiano-carranza.properati.com.mx/oynz_venta_departamento_venustiano-carranza_prolongacion-canal-nacional_192_edmundo-pardavell-juarez
sell,apartment,|México|Distrito Federal|Iztacalco|,"19.41497,-99.065035",923000.0,MXN,914650.2,48629.62,,65.0,,14200.0,,,,http://iztacalco.properati.com.mx/oyo0_venta_departamento_iztacalco_cda-sagrado-corazon_35_ubaldo-velasco
sell,apartment,|México|Distrito Federal|Coyoacán|Avante|,"19.329553,-99.139745",1850000.0,MXN,1833264.3,97469.99,,60.0,,30833.33333333333,,,,http://avante.properati.com.mx/oyo7_venta_departamento_avante_calzada-de-tlalpan_2550_alejandro-arriaga
sell,apartment,|México|Distrito Federal|Iztacalco|,"19.405911,-99.063045",909597.0,MXN,901368.39,47923.46,,70.0,,12994.242857142855,,,,http://iztacalco.properati.com.mx/oyof_venta_departamento_iztacalco_calle-4_99_ubaldo-velasco
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.296717,-99.188052",1876667.0,MXN,1859690.06,98874.98,,100.0,,18766.67,,,,http://tlalpan.properati.com.mx/oyp9_venta_departamento_tlalpan_av-de-los-insurgentes-sur_3493_adami-delgadillo
sell,house,|México|Distrito Federal|Xochimilco|Tierra Nueva|,"19.262049,-99.1138",3500000.0,MXN,3468337.99,184402.69,,160.0,,21875.0,,,,http://tierra-nueva-xochimilco.properati.com.mx/oypa_venta_casa_tierra-nueva_xxxx_laura-trejo-pena
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|Legaria|,"19.453854,-99.193979",680400.0,MXN,674244.85,35847.88,,65.0,,10467.692307692309,,,,http://legaria.properati.com.mx/oype_venta_departamento_legaria_felipe-carrillo-puerto_603_ana-laura-ramirez
sell,apartment,|México|Distrito Federal|Coyoacán|,"19.305704,-99.182983",3338667.0,MXN,3308464.42,175902.62,,100.0,,33386.67,,,,http://coyoacan.properati.com.mx/oypk_venta_departamento_coyoacan_alba_23_adami-delgadillo
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|,,5900000.0,MXN,5846626.92,310850.25,,87.0,,67816.091954023,,,,http://cuajimalpa-de-morelos.properati.com.mx/oypt_renta_departamento_cuajimalpa-de-morelos_inventario-inmobiliario-5
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|,,5900000.0,MXN,5846626.92,310850.25,,87.0,,67816.091954023,,,,http://cuajimalpa-de-morelos.properati.com.mx/oyq1_venta_departamento_cuajimalpa-de-morelos_inventario-inmobiliario-6
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|Manzanastitla|,"19.366901,-99.297272",3360000.0,MXN,3329604.42,177026.58,,120.0,,28000.0,,,,http://manzanastitla.properati.com.mx/oyq9_venta_departamento_manzanastitla_inventario-inmobiliario-5
sell,apartment,|México|Distrito Federal|Tlalpan|,"19.280481,-99.170604",1290800.0,MXN,1279123.01,68007.71,,80.0,,16135.0,,,,http://tlalpan.properati.com.mx/oyqd_venta_departamento_tlalpan_av-de-los-insurgentes-sur_4411_adami-delgadillo
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|Manzanastitla|,"19.366901,-99.297272",3360000.0,MXN,3329604.42,177026.58,,120.0,,28000.0,,,,http://manzanastitla.properati.com.mx/oyqg_venta_departamento_manzanastitla_inventario-inmobiliario-6
sell,house,|México|Distrito Federal|Iztapalapa|,"19.317675,-99.09318",3500000.0,MXN,3468337.99,184402.69,,229.0,,15283.842794759825,,,,http://iztapalapa.properati.com.mx/oyqm_venta_casa_iztapalapa_lutecia_13_luis-reyes
sell,apartment,|México|Distrito Federal|Azcapotzalco|,"19.492195,-99.182526",452000.0,MXN,447911.07,23814.29,,70.0,,6457.142857142857,,,,http://azcapotzalco.properati.com.mx/oyqr_venta_departamento_azcapotzalco_gamaliel-cruz-cruz
sell,apartment,|México|Distrito Federal|Coyoacán|,"19.315636,-99.121252",1500000.0,MXN,1486430.48,79029.72,,96.0,,15625.0,,,,http://coyoacan.properati.com.mx/oyr6_venta_departamento_coyoacan_calle-g-tepetlapa_1_cci-tu-hogar-inmobiliaria
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.36511,-99.163216",4700000.0,MXN,4657482.46,247626.47,,130.0,,36153.84615384616,,,,http://benito-juarez.properati.com.mx/oyrx_venta_departamento_benito-juarez_popocatepetl_187_novahogar
sell,apartment,|México|Distrito Federal|Azcapotzalco|,"19.477389,-99.150971",810697.0,MXN,803363.13,42712.77,,70.0,,11581.385714285714,,,,http://azcapotzalco.properati.com.mx/oyrz_venta_departamento_azcapotzalco_moldeadores_142_carlos-alvarez-corona
sell,apartment,|México|Distrito Federal|Iztacalco|Agrícola Oriental|,"19.39527,-99.068478",445891.0,MXN,441857.18,23492.42,,60.0,,7431.516666666666,,,,http://agricola-oriental.properati.com.mx/oyse_venta_departamento_agricola-oriental_oriente-245-d_211_ubaldo-velasco
sell,apartment,|México|Distrito Federal|Azcapotzalco|,"19.511198,-99.200576",736000.0,MXN,729341.9,38777.25,,65.0,,11323.076923076924,,,,http://azcapotzalco.properati.com.mx/oysf_venta_departamento_azcapotzalco_de-las-culturas_0_gamaliel-cruz-cruz
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.45178,-99.15709",413683.0,MXN,409940.66,21795.5,,54.0,,7660.796296296296,,,,http://cuauhtemoc.properati.com.mx/oysl_venta_departamento_cuauhtemoc_jaime-torres-bodet_207_adami-delgadillo
sell,apartment,|México|Distrito Federal|Azcapotzalco|,"19.511198,-99.200576",576000.0,MXN,570789.26,30347.41,,50.0,,11520.0,,,,http://azcapotzalco.properati.com.mx/oyso_venta_departamento_azcapotzalco_gamaliel-cruz-cruz
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|,,6292000.0,MXN,6235080.75,331503.35,,88.0,,71500.0,,,,http://cuajimalpa-de-morelos.properati.com.mx/oysr_venta_departamento_cuajimalpa-de-morelos_inventario-inmobiliario-5
sell,apartment,|México|Distrito Federal|Cuajimalpa de Morelos|,,6292000.0,MXN,6235080.75,331503.35,,88.0,,71500.0,,,,http://cuajimalpa-de-morelos.properati.com.mx/oysz_venta_departamento_cuajimalpa-de-morelos_inventario-inmobiliario-6
sell,apartment,|México|Distrito Federal|Coyoacán|Del Carmen|,"19.358058,-99.164003",1300000.0,MXN,1288239.68,68492.42,,90.0,,14444.444444444443,,,,http://del-carmen.properati.com.mx/oyt4_venta_departamento_del-carmen_primera-avenida-rio-churubusco_444_gabriel-arriaga-garcia
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.372564,-99.148667",706090.0,MXN,699702.34,37201.39,,75.0,,9414.533333333333,,,,http://benito-juarez.properati.com.mx/oyt5_venta_departamento_benito-juarez_monrovia_302_ricardo-bahena-leyte
sell,apartment,|México|Distrito Federal|Benito Juárez|,"19.394628,-99.143842",1400000.0,MXN,1387335.08,73761.07,,60.0,,23333.33333333333,,,,http://benito-juarez.properati.com.mx/oyt7_venta_departamento_benito-juarez_xola_61_gabriela-vega
sell,apartment,|México|Distrito Federal|Álvaro Obregón|,,640000.0,MXN,634210.2,33719.34,,70.0,,9142.857142857143,,,,http://alvaro-obregon.properati.com.mx/oytb_venta_departamento_alvaro-obregon_camino-real-a-toluca_1150_carlos-alvarez-corona
sell,house,|México|Distrito Federal|Benito Juárez|,,1100000.0,MXN,1090049.06,57955.13,,100.0,,11000.0,,,,http://benito-juarez.properati.com.mx/oytj_venta_casa_benito-juarez_todas_0_edmundo-pardavell-juarez
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.446852,-99.154461",967200.0,MXN,958450.31,50958.36,,80.0,,12090.0,,,,http://cuauhtemoc.properati.com.mx/oyts_venta_departamento_cuauhtemoc_dr-mariano-azuela_120_adami-delgadillo
sell,apartment,|México|Distrito Federal|Miguel Hidalgo|Anahuac|,"19.449997,-99.18117",792000.0,MXN,784835.25,41727.69,,60.0,,13200.0,,,,http://anahuac-miguel-hidalgo.properati.com.mx/oytt_venta_departamento_anahuac_gamaliel-cruz-cruz
sell,house,|México|Distrito Federal|Álvaro Obregón|Las Aguilas|,"19.357601,-99.206634",13500000.0,MXN,13377875.33,711267.53,,506.0,,26679.8418972332,,,,http://las-aguilas.properati.com.mx/oytw_venta_casa_las-aguilas_alfonso-caso-andrade_70_luz-del-carmen-contreras-zepeda
sell,house,|México|Distrito Federal|Álvaro Obregón|,"19.357601,-99.206634",13100000.0,MXN,12981493.72,690192.93,,506.0,,25889.328063241108,,,,http://alvaro-obregon.properati.com.mx/oytz_venta_casa_alvaro-obregon_alfonso-caso-andrade_70_luz-del-carmen-contreras-zepeda
sell,apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.513586,-99.125802",890000.0,MXN,881948.8,46890.97,,70.0,,12714.285714285714,,,,http://gustavo-a-madero.properati.com.mx/oyu2_venta_departamento_gustavo-a-madero_av-acueducto_1044_mexico-invest-capital
sell,apartment,|México|Distrito Federal|Venustiano Carranza|,"19.417363,-99.068463",1000000.0,MXN,990953.65,52686.48,,70.0,,14285.714285714286,,,,http://venustiano-carranza.properati.com.mx/oyu3_venta_departamento_venustiano-carranza_union_47_ubaldo-velasco
sell,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.454722,-99.1573",745000.0,MXN,738260.52,39251.43,,60.0,,12416.666666666666,,,,http://cuauhtemoc.properati.com.mx/oyuk_venta_departamento_cuauhtemoc_av-ricardo-flores-magon_319_adami-delgadillo
sell,house,|México|Distrito Federal|Cuajimalpa de Morelos|,"19.382275,-99.270241",7290000.0,MXN,7224052.56,384084.46,,198.0,,36818.181818181816,,,,http://cuajimalpa-de-morelos.properati.com.mx/oyv7_venta_casa_cuajimalpa-de-morelos_vista-hermosa_carpediem
